size,sortedness,uniqueRatio,bestAlgorithm,datasetType
6457,50.70,0.9715,Quick,LargeRandom
5065,49.92,0.9730,Quick,LargeRandom
5980,50.06,0.9711,Quick,LargeRandom
9403,50.07,0.9532,Quick,LargeRandom
5593,49.41,0.9739,Quick,LargeRandom
9088,50.03,0.9603,Quick,LargeRandom
5130,50.01,0.9754,Quick,LargeRandom
6925,50.65,0.9643,Quick,LargeRandom
7579,49.72,0.9600,Quick,LargeRandom
7951,50.21,0.9603,Quick,LargeRandom
4302,50.83,0.9844,Quick,LargeRandom
4225,49.67,0.9766,Quick,LargeRandom
7771,49.99,0.9611,Quick,LargeRandom
9919,50.42,0.9508,Quick,LargeRandom
1711,50.76,0.9889,Quick,LargeRandom
5219,50.36,0.9749,Quick,LargeRandom
4492,50.39,0.9791,Quick,LargeRandom
7129,50.27,0.9607,Quick,LargeRandom
5002,49.55,0.9730,Quick,LargeRandom
1361,50.37,0.9890,Quick,LargeRandom
6589,50.33,0.9712,Quick,LargeRandom
8900,49.92,0.9600,Quick,LargeRandom
8162,50.48,0.9580,Quick,LargeRandom
5360,49.49,0.9731,Quick,LargeRandom
4609,49.93,0.9800,Quick,LargeRandom
8026,50.28,0.9605,Quick,LargeRandom
2184,49.06,0.9895,Quick,LargeRandom
2812,50.41,0.9840,Quick,LargeRandom
3598,50.54,0.9825,Quick,LargeRandom
8913,49.97,0.9585,Quick,LargeRandom
2970,49.17,0.9845,Quick,LargeRandom
2175,49.91,0.9862,Quick,LargeRandom
4411,50.95,0.9837,Quick,LargeRandom
6009,50.43,0.9700,Quick,LargeRandom
8894,50.85,0.9591,Quick,LargeRandom
4889,49.61,0.9753,Quick,LargeRandom
1911,52.15,0.9895,Quick,LargeRandom
5481,50.26,0.9697,Quick,LargeRandom
7970,50.08,0.9617,Quick,LargeRandom
8394,49.10,0.9622,Quick,LargeRandom
6887,49.58,0.9656,Quick,LargeRandom
9645,50.07,0.9526,Quick,LargeRandom
8186,50.10,0.9645,Quick,LargeRandom
7269,50.10,0.9623,Quick,LargeRandom
5065,49.43,0.9741,Quick,LargeRandom
2665,51.01,0.9835,Quick,LargeRandom
8997,49.57,0.9558,Quick,LargeRandom
8446,49.78,0.9607,Quick,LargeRandom
3228,49.80,0.9876,Quick,LargeRandom
7863,49.86,0.9589,Quick,LargeRandom
1275,48.90,0.9937,Quick,LargeRandom
7439,49.91,0.9642,Quick,LargeRandom
6129,50.18,0.9719,Quick,LargeRandom
5622,49.99,0.9715,Quick,LargeRandom
9589,49.75,0.9547,Quick,LargeRandom
4372,49.97,0.9794,Quick,LargeRandom
6320,49.83,0.9696,Quick,LargeRandom
5334,50.12,0.9758,Quick,LargeRandom
5265,49.85,0.9755,Quick,LargeRandom
3872,49.60,0.9804,Quick,LargeRandom
4874,49.83,0.9762,Quick,LargeRandom
4481,49.73,0.9768,Merge,LargeRandom
5848,49.36,0.9709,Quick,LargeRandom
9898,50.21,0.9548,Quick,LargeRandom
9763,49.66,0.9546,Quick,LargeRandom
5469,50.55,0.9728,Quick,LargeRandom
9440,49.78,0.9537,Quick,LargeRandom
7424,50.34,0.9636,Quick,LargeRandom
3555,50.28,0.9826,Quick,LargeRandom
4207,49.52,0.9819,Quick,LargeRandom
9733,49.69,0.9524,Quick,LargeRandom
2150,49.46,0.9907,Quick,LargeRandom
8190,49.87,0.9618,Quick,LargeRandom
8698,50.56,0.9577,Quick,LargeRandom
7741,50.17,0.9614,Quick,LargeRandom
9802,49.91,0.9522,Quick,LargeRandom
7559,49.51,0.9608,Quick,LargeRandom
6488,49.67,0.9666,Quick,LargeRandom
1667,49.04,0.9916,Quick,LargeRandom
4530,50.21,0.9792,Quick,LargeRandom
9418,49.97,0.9583,Quick,LargeRandom
5981,49.95,0.9726,Quick,LargeRandom
9826,49.68,0.9564,Quick,LargeRandom
3816,49.57,0.9814,Quick,LargeRandom
1786,48.96,0.9894,Quick,LargeRandom
1213,50.83,0.9934,Quick,LargeRandom
7228,50.31,0.9654,Quick,LargeRandom
9429,50.03,0.9547,Quick,LargeRandom
8376,49.55,0.9598,Quick,LargeRandom
8956,50.46,0.9553,Quick,LargeRandom
9201,50.12,0.9561,Quick,LargeRandom
9808,50.16,0.9512,Quick,LargeRandom
2807,48.90,0.9872,Quick,LargeRandom
4894,49.68,0.9765,Quick,LargeRandom
4676,50.48,0.9773,Quick,LargeRandom
2659,49.66,0.9853,Quick,LargeRandom
3447,48.98,0.9832,Quick,LargeRandom
9633,49.94,0.9527,Quick,LargeRandom
3587,50.11,0.9813,Quick,LargeRandom
6541,49.69,0.9662,Quick,LargeRandom
8924,49.68,0.9600,Quick,LargeRandom
7325,50.00,0.9614,Quick,LargeRandom
5046,49.87,0.9770,Quick,LargeRandom
2933,51.50,0.9850,Quick,LargeRandom
1428,50.53,0.9881,Quick,LargeRandom
9914,49.88,0.9550,Quick,LargeRandom
2406,50.27,0.9867,Quick,LargeRandom
2466,49.86,0.9882,Quick,LargeRandom
4027,49.90,0.9814,Quick,LargeRandom
9901,49.37,0.9512,Quick,LargeRandom
7632,49.86,0.9627,Quick,LargeRandom
8164,49.75,0.9614,Quick,LargeRandom
8841,50.31,0.9561,Quick,LargeRandom
2740,50.05,0.9865,Quick,LargeRandom
4608,49.53,0.9761,Quick,LargeRandom
3176,50.93,0.9836,Quick,LargeRandom
1850,49.76,0.9968,Quick,LargeRandom
8093,49.78,0.9617,Quick,LargeRandom
4077,49.41,0.9806,Quick,LargeRandom
4986,49.65,0.9779,Quick,LargeRandom
7124,49.39,0.9655,Quick,LargeRandom
4628,50.01,0.9760,Quick,LargeRandom
6197,50.18,0.9685,Quick,LargeRandom
6772,49.90,0.9675,Quick,LargeRandom
2942,50.19,0.9847,Quick,LargeRandom
6361,50.03,0.9656,Quick,LargeRandom
5439,49.67,0.9750,Quick,LargeRandom
1019,49.80,0.9961,Quick,LargeRandom
1257,49.92,0.9936,Quick,LargeRandom
1509,49.80,0.9914,Quick,LargeRandom
5721,49.84,0.9752,Quick,LargeRandom
4899,50.35,0.9741,Quick,LargeRandom
6664,50.83,0.9670,Quick,LargeRandom
2220,50.79,0.9901,Quick,LargeRandom
1270,50.04,0.9953,Quick,LargeRandom
4768,49.72,0.9782,Quick,LargeRandom
8163,49.93,0.9631,Quick,LargeRandom
1066,50.05,0.9944,Quick,LargeRandom
4797,50.17,0.9727,Quick,LargeRandom
8603,50.24,0.9594,Quick,LargeRandom
7420,50.60,0.9619,Quick,LargeRandom
8673,49.77,0.9591,Quick,LargeRandom
8702,49.84,0.9573,Quick,LargeRandom
6066,50.52,0.9713,Quick,LargeRandom
3305,50.67,0.9821,Quick,LargeRandom
5812,49.46,0.9726,Quick,LargeRandom
9006,50.02,0.9558,Quick,LargeRandom
6855,50.13,0.9676,Quick,LargeRandom
7704,50.18,0.9648,Quick,LargeRandom
6431,49.75,0.9695,Quick,LargeRandom
8373,49.77,0.9593,Quick,LargeRandom
7371,49.92,0.9669,Quick,LargeRandom
1682,50.09,0.9905,Quick,LargeRandom
9948,49.86,0.9525,Quick,LargeRandom
5810,50.18,0.9735,Quick,LargeRandom
5026,50.01,0.9765,Quick,LargeRandom
4424,49.90,0.9751,Quick,LargeRandom
4986,50.29,0.9739,Quick,LargeRandom
8442,49.98,0.9569,Quick,LargeRandom
4433,50.07,0.9820,Quick,LargeRandom
5734,49.69,0.9716,Quick,LargeRandom
7048,49.99,0.9694,Quick,LargeRandom
5837,50.10,0.9709,Quick,LargeRandom
7988,50.41,0.9623,Quick,LargeRandom
8906,49.37,0.9577,Quick,LargeRandom
6261,49.97,0.9641,Quick,LargeRandom
8499,49.99,0.9566,Quick,LargeRandom
4283,49.91,0.9774,Quick,LargeRandom
8672,50.18,0.9596,Quick,LargeRandom
6760,49.84,0.9672,Quick,LargeRandom
1063,49.91,0.9934,Quick,LargeRandom
7889,50.67,0.9584,Quick,LargeRandom
8055,49.68,0.9616,Quick,LargeRandom
7110,50.11,0.9651,Quick,LargeRandom
6471,49.63,0.9658,Quick,LargeRandom
5782,50.11,0.9720,Quick,LargeRandom
1054,50.81,0.9953,Quick,LargeRandom
1971,49.90,0.9909,Quick,LargeRandom
5253,50.04,0.9707,Quick,LargeRandom
7947,50.08,0.9610,Quick,LargeRandom
3373,50.18,0.9870,Quick,LargeRandom
8851,49.67,0.9570,Quick,LargeRandom
1999,51.00,0.9910,Quick,LargeRandom
4812,49.57,0.9763,Quick,LargeRandom
9089,49.68,0.9569,Quick,LargeRandom
5205,50.29,0.9764,Quick,LargeRandom
5114,50.54,0.9777,Quick,LargeRandom
1299,49.00,0.9938,Quick,LargeRandom
8817,50.09,0.9546,Quick,LargeRandom
7489,50.13,0.9622,Quick,LargeRandom
9911,50.07,0.9516,Quick,LargeRandom
7214,50.37,0.9651,Quick,LargeRandom
8370,49.65,0.9554,Quick,LargeRandom
5417,49.85,0.9762,Quick,LargeRandom
5636,49.72,0.9744,Quick,LargeRandom
2093,50.53,0.9885,Quick,LargeRandom
5552,49.05,0.9728,Quick,LargeRandom
5475,50.57,0.9746,Quick,LargeRandom
8160,49.71,0.9608,Quick,LargeRandom
1431,50.42,0.9944,Quick,LargeRandom
7756,49.75,0.9629,Quick,LargeRandom
6376,49.80,0.9653,Quick,LargeRandom
3919,50.18,0.9816,Quick,LargeRandom
3628,50.21,0.9837,Quick,LargeRandom
5433,49.28,0.9711,Quick,LargeRandom
8920,49.82,0.9585,Quick,LargeRandom
9395,50.24,0.9587,Quick,LargeRandom
7051,49.99,0.9624,Quick,LargeRandom
2915,51.10,0.9894,Quick,LargeRandom
3807,50.55,0.9777,Quick,LargeRandom
8706,49.74,0.9554,Quick,LargeRandom
3090,50.05,0.9828,Quick,LargeRandom
7411,50.00,0.9657,Quick,LargeRandom
6972,50.11,0.9673,Quick,LargeRandom
2192,49.98,0.9904,Quick,LargeRandom
8433,50.52,0.9564,Quick,LargeRandom
8829,49.99,0.9561,Quick,LargeRandom
1926,50.49,0.9907,Quick,LargeRandom
5971,50.27,0.9672,Quick,LargeRandom
3078,50.47,0.9841,Quick,LargeRandom
9054,50.29,0.9578,Quick,LargeRandom
6818,49.96,0.9674,Quick,LargeRandom
4290,49.62,0.9804,Quick,LargeRandom
7813,50.23,0.9629,Quick,LargeRandom
1608,49.60,0.9925,Quick,LargeRandom
5758,49.40,0.9691,Quick,LargeRandom
7122,50.06,0.9662,Quick,LargeRandom
9042,50.26,0.9587,Quick,LargeRandom
9768,49.82,0.9541,Quick,LargeRandom
4728,49.61,0.9765,Quick,LargeRandom
5496,49.99,0.9736,Quick,LargeRandom
6187,49.45,0.9728,Quick,LargeRandom
1429,50.00,0.9916,Quick,LargeRandom
5167,50.33,0.9737,Quick,LargeRandom
5542,50.33,0.9704,Quick,LargeRandom
4098,49.96,0.9800,Quick,LargeRandom
4856,49.41,0.9767,Quick,LargeRandom
3462,49.26,0.9801,Quick,LargeRandom
7919,49.87,0.9603,Quick,LargeRandom
2505,50.36,0.9852,Quick,LargeRandom
4737,49.89,0.9751,Quick,LargeRandom
2454,49.78,0.9910,Quick,LargeRandom
2378,49.18,0.9861,Quick,LargeRandom
4424,50.26,0.9783,Quick,LargeRandom
5813,50.53,0.9737,Quick,LargeRandom
1796,50.14,0.9883,Quick,LargeRandom
5141,50.47,0.9755,Quick,LargeRandom
7974,50.22,0.9619,Quick,LargeRandom
5477,50.11,0.9724,Quick,LargeRandom
9469,50.16,0.9515,Quick,LargeRandom
7265,49.93,0.9716,Quick,LargeRandom
9993,49.82,0.9538,Quick,LargeRandom
7298,50.13,0.9641,Quick,LargeRandom
5079,50.53,0.9742,Quick,LargeRandom
1839,50.22,0.9891,Quick,LargeRandom
8906,50.29,0.9568,Quick,LargeRandom
9850,49.75,0.9505,Quick,LargeRandom
2658,50.13,0.9876,Quick,LargeRandom
6748,49.83,0.9715,Quick,LargeRandom
3219,49.63,0.9814,Quick,LargeRandom
4901,49.88,0.9780,Quick,LargeRandom
3159,48.86,0.9829,Quick,LargeRandom
6168,50.51,0.9720,Quick,LargeRandom
6293,49.54,0.9669,Quick,LargeRandom
1829,50.16,0.9918,Quick,LargeRandom
5007,50.20,0.9772,Quick,LargeRandom
8264,50.36,0.9614,Quick,LargeRandom
5763,50.16,0.9676,Quick,LargeRandom
4045,49.41,0.9844,Quick,LargeRandom
4486,50.17,0.9766,Quick,LargeRandom
7995,49.51,0.9646,Quick,LargeRandom
2582,50.68,0.9876,Quick,LargeRandom
4467,49.84,0.9772,Quick,LargeRandom
6340,50.24,0.9678,Quick,LargeRandom
1728,49.74,0.9896,Quick,LargeRandom
3394,50.84,0.9817,Quick,LargeRandom
5359,50.13,0.9776,Quick,LargeRandom
9790,49.96,0.9512,Quick,LargeRandom
7783,49.23,0.9639,Quick,LargeRandom
1216,50.04,0.9926,Quick,LargeRandom
3512,50.19,0.9841,Quick,LargeRandom
6237,49.78,0.9687,Quick,LargeRandom
6508,49.38,0.9677,Quick,LargeRandom
8698,50.07,0.9614,Quick,LargeRandom
1882,48.54,0.9904,Quick,LargeRandom
6615,50.18,0.9716,Quick,LargeRandom
2354,50.15,0.9911,Quick,LargeRandom
7277,50.21,0.9622,Quick,LargeRandom
4005,49.20,0.9770,Quick,LargeRandom
7744,49.97,0.9638,Quick,LargeRandom
2995,50.03,0.9870,Quick,LargeRandom
5517,50.25,0.9708,Quick,LargeRandom
5179,49.88,0.9728,Quick,LargeRandom
6229,50.35,0.9706,Quick,LargeRandom
1044,49.95,0.9943,Quick,LargeRandom
5473,50.84,0.9768,Quick,LargeRandom
4140,50.35,0.9790,Quick,LargeRandom
7390,49.75,0.9639,Quick,LargeRandom
9171,49.77,0.9531,Quick,LargeRandom
8926,49.97,0.9577,Quick,LargeRandom
6367,49.28,0.9725,Quick,LargeRandom
6067,50.49,0.9745,Quick,LargeRandom
7824,49.64,0.9622,Quick,LargeRandom
8703,49.74,0.9566,Quick,LargeRandom
8860,50.76,0.9573,Quick,LargeRandom
3921,51.15,0.9834,Quick,LargeRandom
3164,49.64,0.9848,Quick,LargeRandom
8100,49.67,0.9601,Quick,LargeRandom
2403,50.04,0.9892,Quick,LargeRandom
4910,49.68,0.9772,Quick,LargeRandom
4912,49.66,0.9752,Quick,LargeRandom
8879,50.34,0.9598,Quick,LargeRandom
5514,49.79,0.9721,Quick,LargeRandom
4407,49.86,0.9748,Quick,LargeRandom
5829,50.26,0.9727,Quick,LargeRandom
1355,47.86,0.9934,Quick,LargeRandom
8698,49.34,0.9561,Quick,LargeRandom
7919,50.28,0.9627,Quick,LargeRandom
1960,50.54,0.9898,Quick,LargeRandom
2817,49.82,0.9915,Quick,LargeRandom
8486,50.16,0.9575,Quick,LargeRandom
1152,50.74,0.9957,Quick,LargeRandom
4791,49.56,0.9758,Quick,LargeRandom
1633,50.00,0.9920,Quick,LargeRandom
9432,50.01,0.9537,Quick,LargeRandom
5980,50.28,0.9684,Quick,LargeRandom
9259,50.33,0.9582,Quick,LargeRandom
7164,50.37,0.9629,Quick,LargeRandom
6096,49.96,0.9683,Quick,LargeRandom
2075,50.39,0.9870,Quick,LargeRandom
1967,50.00,0.9893,Quick,LargeRandom
2014,49.33,0.9881,Quick,LargeRandom
6877,49.56,0.9660,Quick,LargeRandom
3567,50.28,0.9826,Quick,LargeRandom
7499,50.13,0.9641,Quick,LargeRandom
1346,50.11,0.9948,Quick,LargeRandom
5083,50.31,0.9764,Quick,LargeRandom
2941,50.75,0.9874,Quick,LargeRandom
4005,50.10,0.9840,Quick,LargeRandom
5778,50.58,0.9754,Quick,LargeRandom
7033,50.00,0.9670,Quick,LargeRandom
1546,50.29,0.9948,Quick,LargeRandom
8239,49.75,0.9556,Quick,LargeRandom
2286,49.63,0.9882,Quick,LargeRandom
3465,50.00,0.9853,Quick,LargeRandom
7126,49.59,0.9645,Quick,LargeRandom
2343,49.06,0.9889,Quick,LargeRandom
2626,50.17,0.9836,Quick,LargeRandom
7790,50.58,0.9625,Quick,LargeRandom
7444,49.40,0.9643,Quick,LargeRandom
7753,50.10,0.9644,Quick,LargeRandom
6872,50.12,0.9657,Quick,LargeRandom
4579,50.07,0.9821,Quick,LargeRandom
1098,50.68,0.9964,Quick,LargeRandom
5000,50.11,0.9758,Quick,LargeRandom
9799,50.10,0.9515,Quick,LargeRandom
7188,49.59,0.9651,Quick,LargeRandom
2913,49.83,0.9870,Quick,LargeRandom
8875,50.01,0.9592,Quick,LargeRandom
2876,49.22,0.9878,Quick,LargeRandom
5353,50.52,0.9724,Quick,LargeRandom
7892,49.58,0.9612,Quick,LargeRandom
5844,50.06,0.9707,Quick,LargeRandom
7226,50.51,0.9646,Quick,LargeRandom
6617,50.17,0.9657,Quick,LargeRandom
5608,50.42,0.9711,Quick,LargeRandom
7653,50.10,0.9637,Quick,LargeRandom
6734,50.04,0.9663,Quick,LargeRandom
9213,49.70,0.9540,Quick,LargeRandom
8954,50.25,0.9563,Quick,LargeRandom
5355,50.15,0.9737,Quick,LargeRandom
2350,50.32,0.9902,Quick,LargeRandom
3506,50.07,0.9840,Quick,LargeRandom
3314,50.80,0.9840,Quick,LargeRandom
3611,50.25,0.9814,Quick,LargeRandom
5429,49.91,0.9722,Quick,LargeRandom
4657,49.44,0.9770,Quick,LargeRandom
9626,49.83,0.9549,Quick,LargeRandom
9014,49.53,0.9560,Quick,LargeRandom
8614,49.77,0.9583,Quick,LargeRandom
1433,50.07,0.9930,Quick,LargeRandom
2945,49.86,0.9830,Quick,LargeRandom
2304,49.93,0.9883,Quick,LargeRandom
1215,48.76,0.9951,Quick,LargeRandom
7714,50.19,0.9602,Quick,LargeRandom
8492,50.23,0.9594,Quick,LargeRandom
4714,49.46,0.9801,Quick,LargeRandom
9502,49.79,0.9555,Quick,LargeRandom
1833,49.29,0.9913,Quick,LargeRandom
9668,50.05,0.9558,Quick,LargeRandom
8615,50.28,0.9602,Quick,LargeRandom
8472,49.73,0.9613,Quick,LargeRandom
6553,50.24,0.9684,Quick,LargeRandom
7065,49.80,0.9622,Quick,LargeRandom
9225,50.48,0.9578,Quick,LargeRandom
8227,50.63,0.9571,Quick,LargeRandom
3469,50.66,0.9792,Quick,LargeRandom
2103,48.91,0.9886,Quick,LargeRandom
5719,50.14,0.9691,Quick,LargeRandom
1202,50.62,0.9950,Quick,LargeRandom
2464,50.02,0.9862,Quick,LargeRandom
7263,50.00,0.9687,Quick,LargeRandom
7720,49.83,0.9628,Quick,LargeRandom
2390,49.85,0.9887,Quick,LargeRandom
9642,50.14,0.9563,Quick,LargeRandom
4947,50.10,0.9761,Quick,LargeRandom
3289,50.76,0.9815,Quick,LargeRandom
5016,50.23,0.9753,Quick,LargeRandom
7525,49.68,0.9636,Quick,LargeRandom
2635,51.37,0.9879,Quick,LargeRandom
3873,50.18,0.9812,Quick,LargeRandom
1445,50.07,0.9924,Quick,LargeRandom
8379,50.29,0.9617,Quick,LargeRandom
9796,49.68,0.9528,Quick,LargeRandom
2396,49.98,0.9866,Quick,LargeRandom
9586,49.58,0.9548,Quick,LargeRandom
1558,50.55,0.9942,Quick,LargeRandom
8891,49.87,0.9591,Quick,LargeRandom
8932,49.89,0.9562,Quick,LargeRandom
9697,49.88,0.9527,Quick,LargeRandom
8909,50.11,0.9591,Quick,LargeRandom
4503,49.58,0.9758,Quick,LargeRandom
1887,50.21,0.9905,Quick,LargeRandom
2159,50.14,0.9907,Quick,LargeRandom
3270,50.02,0.9856,Quick,LargeRandom
6250,49.91,0.9712,Quick,LargeRandom
2862,49.39,0.9815,Quick,LargeRandom
2317,50.22,0.9875,Quick,LargeRandom
2913,50.21,0.9870,Quick,LargeRandom
6776,50.07,0.9687,Quick,LargeRandom
1402,50.04,0.9922,Quick,LargeRandom
3449,49.85,0.9820,Quick,LargeRandom
4277,49.88,0.9799,Quick,LargeRandom
2772,50.78,0.9867,Quick,LargeRandom
1645,49.82,0.9921,Quick,LargeRandom
3722,49.66,0.9788,Quick,LargeRandom
9920,50.20,0.9477,Quick,LargeRandom
3321,50.24,0.9792,Quick,LargeRandom
3815,49.61,0.9801,Quick,LargeRandom
3988,50.26,0.9807,Quick,LargeRandom
6490,49.82,0.9670,Quick,LargeRandom
6151,50.26,0.9699,Quick,LargeRandom
1999,50.50,0.9910,Quick,LargeRandom
9493,50.06,0.9533,Quick,LargeRandom
2244,49.49,0.9898,Quick,LargeRandom
5897,49.95,0.9729,Quick,LargeRandom
9644,49.76,0.9518,Quick,LargeRandom
7171,49.78,0.9672,Quick,LargeRandom
5231,50.04,0.9734,Quick,LargeRandom
8231,50.39,0.9591,Quick,LargeRandom
6234,49.11,0.9706,Quick,LargeRandom
8173,49.91,0.9595,Quick,LargeRandom
1270,52.09,0.9945,Quick,LargeRandom
9859,50.10,0.9528,Quick,LargeRandom
5102,49.44,0.9712,Quick,LargeRandom
9537,50.10,0.9549,Quick,LargeRandom
6270,50.71,0.9700,Quick,LargeRandom
1169,49.23,0.9846,Quick,LargeRandom
9228,50.08,0.9576,Quick,LargeRandom
7754,50.15,0.9590,Quick,LargeRandom
3713,49.92,0.9846,Quick,LargeRandom
7315,49.71,0.9664,Quick,LargeRandom
3605,49.67,0.9847,Quick,LargeRandom
1384,50.61,0.9949,Quick,LargeRandom
6761,50.15,0.9669,Quick,LargeRandom
6198,50.01,0.9714,Quick,LargeRandom
8409,49.80,0.9611,Quick,LargeRandom
7128,50.55,0.9652,Quick,LargeRandom
4840,49.74,0.9785,Quick,LargeRandom
4129,50.27,0.9784,Quick,LargeRandom
9491,49.82,0.9535,Quick,LargeRandom
5494,50.03,0.9678,Quick,LargeRandom
3022,49.85,0.9841,Quick,LargeRandom
5292,50.33,0.9747,Quick,LargeRandom
3389,49.88,0.9823,Quick,LargeRandom
4436,50.46,0.9750,Quick,LargeRandom
3035,50.43,0.9858,Quick,LargeRandom
3601,50.83,0.9811,Quick,LargeRandom
9704,50.19,0.9525,Quick,LargeRandom
3340,49.63,0.9865,Quick,LargeRandom
8091,49.99,0.9588,Quick,LargeRandom
4933,49.66,0.9745,Quick,LargeRandom
3783,49.58,0.9799,Quick,LargeRandom
8301,49.82,0.9565,Quick,LargeRandom
4789,51.04,0.9745,Quick,LargeRandom
2345,50.17,0.9915,Quick,LargeRandom
7783,49.25,0.9642,Quick,LargeRandom
4269,50.77,0.9792,Quick,LargeRandom
8903,50.22,0.9578,Quick,LargeRandom
3150,49.51,0.9873,Quick,LargeRandom
4572,50.30,0.9781,Quick,LargeRandom
1936,49.51,0.9917,Quick,LargeRandom
1928,50.44,0.9881,Quick,LargeRandom
4105,50.37,0.9776,Quick,LargeRandom
3118,50.75,0.9875,Quick,LargeRandom
9625,49.45,0.9572,Quick,LargeRandom
2336,49.55,0.9884,Quick,LargeRandom
3328,50.71,0.9844,Quick,LargeRandom
2473,50.49,0.9875,Quick,LargeRandom
3816,50.09,0.9827,Quick,LargeRandom
1817,49.17,0.9934,Quick,LargeRandom
8738,49.81,0.9545,Quick,LargeRandom
6893,49.41,0.9661,Quick,LargeRandom
5152,49.97,0.9738,Quick,LargeRandom
2574,49.63,0.9864,Quick,LargeRandom
5232,49.72,0.9700,Quick,LargeRandom
4199,50.14,0.9795,Quick,LargeRandom
8063,49.88,0.9580,Quick,LargeRandom
5051,50.44,0.9790,Quick,LargeRandom
2278,49.80,0.9899,Quick,LargeRandom
8886,50.10,0.9584,Quick,LargeRandom
3754,50.87,0.9814,Quick,LargeRandom
5180,49.91,0.9745,Quick,LargeRandom
4098,50.35,0.9817,Quick,LargeRandom
6480,49.67,0.9685,Quick,LargeRandom
6353,50.05,0.9720,Quick,LargeRandom
6821,50.63,0.9653,Quick,LargeRandom
4095,49.63,0.9805,Quick,LargeRandom
9193,49.66,0.9580,Quick,LargeRandom
5426,50.08,0.9724,Quick,LargeRandom
8771,49.71,0.9566,Quick,LargeRandom
2041,50.34,0.9858,Quick,LargeRandom
2000,49.42,0.9920,Quick,LargeRandom
9859,49.93,0.9508,Quick,LargeRandom
4705,50.30,0.9741,Quick,LargeRandom
7800,50.39,0.9624,Quick,LargeRandom
3900,50.42,0.9805,Quick,LargeRandom
5599,50.23,0.9734,Quick,LargeRandom
8930,50.10,0.9558,Quick,LargeRandom
8408,50.04,0.9580,Quick,LargeRandom
2777,50.07,0.9881,Quick,LargeRandom
8563,50.05,0.9576,Quick,LargeRandom
7588,49.86,0.9634,Quick,LargeRandom
5102,50.58,0.9773,Quick,LargeRandom
7805,49.83,0.9616,Quick,LargeRandom
1110,49.41,0.9973,Quick,LargeRandom
6857,50.32,0.9666,Quick,LargeRandom
7872,50.08,0.9637,Quick,LargeRandom
1277,49.61,0.9969,Quick,LargeRandom
7550,49.68,0.9633,Quick,LargeRandom
2522,49.39,0.9873,Quick,LargeRandom
7841,49.80,0.9619,Quick,LargeRandom
8375,50.13,0.9635,Quick,LargeRandom
6451,49.60,0.9704,Quick,LargeRandom
2580,49.94,0.9911,Quick,LargeRandom
1312,51.41,0.9924,Quick,LargeRandom
7496,50.11,0.9612,Quick,LargeRandom
6586,49.95,0.9664,Quick,LargeRandom
9886,49.89,0.9510,Quick,LargeRandom
5558,49.78,0.9718,Quick,LargeRandom
4567,50.59,0.9772,Quick,LargeRandom
3937,49.82,0.9794,Quick,LargeRandom
4388,50.31,0.9747,Quick,LargeRandom
8964,50.05,0.9548,Quick,LargeRandom
3253,49.82,0.9871,Quick,LargeRandom
9835,50.00,0.9505,Quick,LargeRandom
1182,49.70,0.9915,Quick,LargeRandom
5172,50.05,0.9754,Quick,LargeRandom
1028,50.63,0.9932,Quick,LargeRandom
7648,50.26,0.9587,Quick,LargeRandom
4253,49.84,0.9763,Quick,LargeRandom
5592,50.31,0.9741,Quick,LargeRandom
6212,49.38,0.9702,Quick,LargeRandom
1507,49.14,0.9947,Quick,LargeRandom
4458,50.26,0.9785,Quick,LargeRandom
5385,49.91,0.9708,Quick,LargeRandom
9957,49.40,0.9523,Quick,LargeRandom
2239,49.78,0.9862,Quick,LargeRandom
2887,49.48,0.9879,Quick,LargeRandom
5988,50.76,0.9699,Quick,LargeRandom
7243,50.06,0.9681,Quick,LargeRandom
6864,49.99,0.9656,Quick,LargeRandom
3828,49.59,0.9807,Quick,LargeRandom
3229,50.56,0.9808,Quick,LargeRandom
7707,50.32,0.9595,Quick,LargeRandom
1858,49.76,0.9930,Quick,LargeRandom
6899,49.94,0.9638,Quick,LargeRandom
5142,50.57,0.9767,Quick,LargeRandom
9528,49.56,0.9549,Quick,LargeRandom
7775,49.52,0.9668,Quick,LargeRandom
7601,49.87,0.9637,Quick,LargeRandom
6470,49.99,0.9692,Quick,LargeRandom
8050,50.29,0.9636,Quick,LargeRandom
9174,50.42,0.9536,Quick,LargeRandom
6958,50.38,0.9635,Quick,LargeRandom
2653,49.81,0.9894,Quick,LargeRandom
5837,49.45,0.9697,Quick,LargeRandom
6219,49.77,0.9670,Quick,LargeRandom
7693,49.69,0.9619,Quick,LargeRandom
2794,50.59,0.9882,Quick,LargeRandom
8248,50.31,0.9637,Quick,LargeRandom
6089,49.57,0.9706,Quick,LargeRandom
5568,50.49,0.9704,Quick,LargeRandom
6233,49.20,0.9655,Quick,LargeRandom
1397,50.36,0.9907,Quick,LargeRandom
5850,50.30,0.9704,Quick,LargeRandom
9328,49.79,0.9500,Quick,LargeRandom
8812,50.09,0.9610,Quick,LargeRandom
3221,50.22,0.9820,Quick,LargeRandom
1376,48.95,0.9956,Quick,LargeRandom
7242,50.61,0.9635,Quick,LargeRandom
3990,50.21,0.9820,Quick,LargeRandom
6000,49.99,0.9732,Quick,LargeRandom
4459,49.80,0.9796,Quick,LargeRandom
3359,50.42,0.9824,Quick,LargeRandom
6625,49.73,0.9700,Quick,LargeRandom
6037,50.76,0.9694,Quick,LargeRandom
